generation,relative_error,objective_value,dimension,population
0,118.03629398345947,1.393256664276123,2,500
1,59.239017963409424,0.35092610120773315,2,500
2,7.368072122335434,0.005428848788142204,2,500
3,7.368072122335434,0.08378499746322632,2,500
4,7.368072122335434,0.11049368232488632,2,500
5,7.368072122335434,0.0752745047211647,2,500
6,7.368072122335434,0.10405106842517853,2,500
7,7.368072122335434,0.08631889522075653,2,500
8,7.368072122335434,0.11041605472564697,2,500
9,7.368072122335434,0.07926133275032043,2,500
10,7.368072122335434,0.09566567838191986,2,500
11,7.368072122335434,0.07699243724346161,2,500
12,7.368072122335434,0.06845319271087646,2,500
13,7.368072122335434,0.08489765226840973,2,500
14,7.368072122335434,0.07130216062068939,2,500
15,7.368072122335434,0.07497340440750122,2,500
16,7.368072122335434,0.06622982025146484,2,500
17,7.368072122335434,0.07746729254722595,2,500
18,7.368072122335434,0.07373262941837311,2,500
19,7.368072122335434,0.06991954147815704,2,500
20,7.368072122335434,0.09581639617681503,2,500
21,7.368072122335434,0.057269372045993805,2,500
22,7.368072122335434,0.06312863528728485,2,500
23,7.368072122335434,0.09277956187725067,2,500
24,7.368072122335434,0.06317411363124847,2,500
25,7.368072122335434,0.10211466252803802,2,500
26,7.368072122335434,0.060621023178100586,2,500
27,7.368072122335434,0.09371812641620636,2,500
28,7.368072122335434,0.07441401481628418,2,500
29,7.368072122335434,0.09443305432796478,2,500
30,7.368072122335434,0.07870063185691833,2,500
31,7.368072122335434,0.07598723471164703,2,500
32,7.368072122335434,0.07011536508798599,2,500
33,7.368072122335434,0.08524535596370697,2,500
34,7.368072122335434,0.06632180511951447,2,500
35,7.368072122335434,0.06152734160423279,2,500
36,7.368072122335434,0.06294359266757965,2,500
37,7.368072122335434,0.08079692721366882,2,500
38,7.368072122335434,0.06213504076004028,2,500
39,7.368072122335434,0.08351777493953705,2,500
40,7.368072122335434,0.06287745386362076,2,500
41,7.368072122335434,0.07235792279243469,2,500
42,7.368072122335434,0.07815994322299957,2,500
43,7.368072122335434,0.06669618934392929,2,500
44,7.368072122335434,0.0649157240986824,2,500
45,7.368072122335434,0.05672287195920944,2,500
46,7.368072122335434,0.05907359719276428,2,500
47,7.368072122335434,0.05534494295716286,2,500
48,7.368072122335434,0.06512834131717682,2,500
49,7.368072122335434,0.0472588948905468,2,500
50,7.368072122335434,0.06698161363601685,2,500
51,7.368072122335434,0.06151682510972023,2,500
52,7.368072122335434,0.0680730864405632,2,500
53,7.368072122335434,0.0596160925924778,2,500
54,7.368072122335434,0.06959602236747742,2,500
55,7.368072122335434,0.06589588522911072,2,500
56,7.368072122335434,0.04747695475816727,2,500
57,7.368072122335434,0.06912007927894592,2,500
58,7.368072122335434,0.05667182058095932,2,500
59,7.368072122335434,0.051844049245119095,2,500
60,7.368072122335434,0.0558183528482914,2,500
61,7.368072122335434,0.05222079157829285,2,500
62,7.368072122335434,0.051279276609420776,2,500
63,7.368072122335434,0.04689875245094299,2,500
64,7.368072122335434,0.05489214509725571,2,500
65,7.368072122335434,0.06360694766044617,2,500
66,7.368072122335434,0.05661757290363312,2,500
67,7.368072122335434,0.053429313004016876,2,500
68,7.368072122335434,0.06605548411607742,2,500
69,7.368072122335434,0.0638030394911766,2,500
70,7.368072122335434,0.0548398494720459,2,500
71,7.368072122335434,0.05102071911096573,2,500
72,7.368072122335434,0.04925914481282234,2,500
73,7.368072122335434,0.06153678894042969,2,500
74,7.368072122335434,0.05823012813925743,2,500
75,7.368072122335434,0.05290435627102852,2,500
76,7.368072122335434,0.04941476136445999,2,500
77,7.368072122335434,0.05505207180976868,2,500
78,7.368072122335434,0.047702301293611526,2,500
79,7.368072122335434,0.046196021139621735,2,500
80,7.368072122335434,0.04661807790398598,2,500
81,7.368072122335434,0.0564437210559845,2,500
82,7.368072122335434,0.05100565031170845,2,500
83,7.368072122335434,0.06453306972980499,2,500
84,7.368072122335434,0.044649574905633926,2,500
85,7.368072122335434,0.06273995339870453,2,500
86,7.368072122335434,0.04098380357027054,2,500
87,7.368072122335434,0.05559924244880676,2,500
88,7.368072122335434,0.058274492621421814,2,500
89,7.368072122335434,0.04053274914622307,2,500
90,7.368072122335434,0.06616178900003433,2,500
91,7.368072122335434,0.062160272151231766,2,500
92,7.368072122335434,0.06063912436366081,2,500
93,7.368072122335434,0.044688880443573,2,500
94,7.368072122335434,0.07283473014831543,2,500
95,7.368072122335434,0.06229259446263313,2,500
96,7.368072122335434,0.08818705379962921,2,500
97,7.368072122335434,0.09175137430429459,2,500
98,7.368072122335434,0.08641598373651505,2,500
99,7.368072122335434,0.10893449187278748,2,500
100,7.368072122335434,0.07070206105709076,2,500
101,7.368072122335434,0.0878491923213005,2,500
102,7.368072122335434,0.07866843789815903,2,500
103,7.368072122335434,0.07512905448675156,2,500
104,7.368072122335434,0.07647638022899628,2,500
105,7.368072122335434,0.05301179364323616,2,500
106,7.368072122335434,0.09316655993461609,2,500
107,7.368072122335434,0.07082334160804749,2,500
108,7.368072122335434,0.08101747930049896,2,500
109,7.368072122335434,0.04906272888183594,2,500
110,7.368072122335434,0.07593518495559692,2,500
111,7.368072122335434,0.06787021458148956,2,500
112,7.368072122335434,0.04908625781536102,2,500
113,7.368072122335434,0.06949853897094727,2,500
114,7.368072122335434,0.0541117787361145,2,500
115,7.368072122335434,0.05226573348045349,2,500
116,7.368072122335434,0.05641789361834526,2,500
117,7.368072122335434,0.04745951294898987,2,500
118,7.368072122335434,0.058599554002285004,2,500
119,7.368072122335434,0.037940822541713715,2,500
120,7.368072122335434,0.06619320809841156,2,500
121,7.368072122335434,0.055038437247276306,2,500
122,7.368072122335434,0.05743331462144852,2,500
123,7.368072122335434,0.05359311401844025,2,500
124,7.368072122335434,0.060177065432071686,2,500
125,7.368072122335434,0.05093597620725632,2,500
126,7.368072122335434,0.04968512803316116,2,500
127,7.368072122335434,0.04418608546257019,2,500
128,7.368072122335434,0.06302541494369507,2,500
129,7.368072122335434,0.05601406842470169,2,500
130,7.368072122335434,0.05933389812707901,2,500
131,7.368072122335434,0.06313776224851608,2,500
132,7.368072122335434,0.06133335083723068,2,500
133,7.368072122335434,0.049709416925907135,2,500
134,7.368072122335434,0.06083794683218002,2,500
135,7.368072122335434,0.06255397945642471,2,500
136,7.368072122335434,0.08048798143863678,2,500
137,7.368072122335434,0.06848281621932983,2,500
138,7.368072122335434,0.06985864788293839,2,500
139,7.368072122335434,0.06444446742534637,2,500
140,7.368072122335434,0.05545022338628769,2,500
141,7.368072122335434,0.06492442637681961,2,500
142,7.368072122335434,0.04856680706143379,2,500
143,7.368072122335434,0.0569646954536438,2,500
144,7.368072122335434,0.05601879954338074,2,500
145,7.368072122335434,0.048271652311086655,2,500
146,7.368072122335434,0.04847170040011406,2,500
147,7.368072122335434,0.0411824956536293,2,500
148,7.368072122335434,0.058702968060970306,2,500
149,7.368072122335434,0.044738274067640305,2,500
150,7.368072122335434,0.0420859269797802,2,500
151,7.368072122335434,0.047539956867694855,2,500
152,7.368072122335434,0.05121006816625595,2,500
153,7.368072122335434,0.041893359273672104,2,500
154,7.368072122335434,0.046416036784648895,2,500
155,7.368072122335434,0.04300859570503235,2,500
156,7.368072122335434,0.04157735034823418,2,500
157,7.368072122335434,0.040043339133262634,2,500
158,7.368072122335434,0.03393477201461792,2,500
159,7.368072122335434,0.04278679937124252,2,500
160,7.368072122335434,0.04626414552330971,2,500
161,7.368072122335434,0.046281442046165466,2,500
162,7.368072122335434,0.05630122125148773,2,500
163,7.368072122335434,0.03956376016139984,2,500
164,7.368072122335434,0.062336236238479614,2,500
165,7.368072122335434,0.04427527263760567,2,500
166,7.368072122335434,0.06232514977455139,2,500
167,7.368072122335434,0.043016817420721054,2,500
168,7.368072122335434,0.06597703695297241,2,500
169,7.368072122335434,0.06580318510532379,2,500
170,7.368072122335434,0.05585802346467972,2,500
171,7.368072122335434,0.07512962818145752,2,500
172,7.368072122335434,0.07295805215835571,2,500
173,7.368072122335434,0.062217697501182556,2,500
174,7.368072122335434,0.06883016228675842,2,500
175,7.368072122335434,0.05120706185698509,2,500
176,7.368072122335434,0.05966824293136597,2,500
177,7.368072122335434,0.055561527609825134,2,500
178,7.368072122335434,0.0535924956202507,2,500
179,7.368072122335434,0.05790583789348602,2,500
180,7.368072122335434,0.04693296179175377,2,500
181,7.368072122335434,0.057792581617832184,2,500
182,7.368072122335434,0.056136876344680786,2,500
183,7.368072122335434,0.05971907824277878,2,500
184,7.368072122335434,0.055359404534101486,2,500
185,7.368072122335434,0.04965894669294357,2,500
186,7.368072122335434,0.05705481767654419,2,500
187,7.368072122335434,0.04272884503006935,2,500
188,7.368072122335434,0.04955470189452171,2,500
189,7.368072122335434,0.05270346254110336,2,500
