nozc,nozw,performance
-1.5,0.0,0.0002544662075416506
-1.5,0.2,0.007375191197790506
-1.5,0.4,0.009613509038848686
-1.5,0.6000000000000001,0.012753359576745942
-1.5,0.8,0.01668848864187786
-1.5,1.0,0.02095388878359246
-1.5,1.2000000000000002,0.02497752678671922
-1.5,1.4000000000000001,0.028389573160289523
-1.5,1.6,0.031060333124655844
-1.5,1.8,0.03306669200196667
-1.5,2.0,0.03451907934966917
-1.5,2.2,0.03548724742818433
-1.5,2.4000000000000004,0.03599637148132399
-1.5,2.6,0.036053470802056065
-1.5,2.8000000000000003,0.035672700499496814
-1.5,3.0,0.03488738422438377
-1.5,3.2,0.03375162829855448
-1.5,3.4000000000000004,0.03233451897931944
-1.5,3.6,0.030711640725669325
-1.5,3.8000000000000003,0.028957000200710244
-1.5,4.0,0.027137083017787226
-1.425,0.0,0.0002544662075416506
-1.425,0.2,0.020705278922487514
-1.425,0.4,0.02523056912565857
-1.425,0.6000000000000001,0.03385507043291857
-1.425,0.8,0.04429489766477138
-1.425,1.0,0.05513107655577399
-1.425,1.2000000000000002,0.064410864387898
-1.425,1.4000000000000001,0.07081249807341898
-1.425,1.6,0.07402017050362038
-1.425,1.8,0.07459655287290996
-1.425,2.0,0.07334205681701844
-1.425,2.2,0.07090636669160455
-1.425,2.4000000000000004,0.06771915563016673
-1.425,2.6,0.06404860519574844
-1.425,2.8000000000000003,0.060075140100948804
-1.425,3.0,0.05593682115567064
-1.425,3.2,0.05174962980847611
-1.425,3.4000000000000004,0.047612558983040204
-1.425,3.6,0.04360680769618222
-1.425,3.8000000000000003,0.03979435462956012
-1.425,4.0,0.036217989368283285
-1.35,0.0,0.0002544662075416506
-1.35,0.2,0.0432291164210226
-1.35,0.4,0.056835724047191644
-1.35,0.6000000000000001,0.07780029504979798
-1.35,0.8,0.10219871656350352
-1.35,1.0,0.1268856941838573
-1.35,1.2000000000000002,0.14680849530013487
-1.35,1.4000000000000001,0.15801858282583026
-1.35,1.6,0.15982463096679408
-1.35,1.8,0.15433844914760714
-1.35,2.0,0.14449364672499276
-1.35,2.2,0.1326421121448893
-1.35,2.4000000000000004,0.12026208574914661
-1.35,2.6,0.1081608183632357
-1.35,2.8000000000000003,0.09674182435696149
-1.35,3.0,0.08619063984409721
-1.35,3.2,0.07657830831366662
-1.35,3.4000000000000004,0.06791337760756366
-1.35,3.6,0.060167692948031856
-1.35,3.8000000000000003,0.053290440524822895
-1.35,4.0,0.04721711319778351
-1.275,0.0,0.0002544662075416506
-1.275,0.2,0.0853035487402372
-1.275,0.4,0.11347423322364407
-1.275,0.6000000000000001,0.15463528257320486
-1.275,0.8,0.20464600580426506
-1.275,1.0,0.2550233829617405
-1.275,1.2000000000000002,0.2948903770621828
-1.275,1.4000000000000001,0.3144757791195032
-1.275,1.6,0.311652715702516
-1.275,1.8,0.29186917965508835
-1.275,2.0,0.263052019419572
-1.275,2.2,0.23150019128132704
-1.275,2.4000000000000004,0.20092852752295284
-1.275,2.6,0.17307746535841542
-1.275,2.8000000000000003,0.14853085069496388
-1.275,3.0,0.12729227094857457
-1.275,3.2,0.10910997083110036
-1.275,3.4000000000000004,0.09364067076840893
-1.275,3.6,0.08052667611502154
-1.275,3.8000000000000003,0.06943008749672233
-1.275,4.0,0.06004652400175463
-1.2,0.0,0.0002544662075416506
-1.2,0.2,0.15351513419052393
-1.2,0.4,0.19642697136517295
-1.2,0.6000000000000001,0.26758597006625306
-1.2,0.8,0.35699703826432305
-1.2,1.0,0.4482223485762622
-1.2,1.2000000000000002,0.5222135618391511
-1.2,1.4000000000000001,0.5582005268191996
-1.2,1.6,0.5487694695455071
-1.2,1.8,0.5042677783992411
-1.2,2.0,0.4421260351464738
-1.2,2.2,0.37648168395754017
-1.2,2.4000000000000004,0.3153436985694483
-1.2,2.6,0.2619975493119841
-1.2,2.8000000000000003,0.21705366193879763
-1.2,3.0,0.17989194767686822
-1.2,3.2,0.1494565505839916
-1.2,3.4000000000000004,0.12463344824715321
-1.2,3.6,0.10440618561387079
-1.2,3.8000000000000003,0.08790540620676353
-1.2,4.0,0.07441174762855565
-1.125,0.0,0.0002544662075416506
-1.125,0.2,0.19994431405161053
-1.125,0.4,0.29167828369413235
-1.125,0.6000000000000001,0.40783916508894863
-1.125,0.8,0.5454044947412784
-1.125,1.0,0.6914853887101616
-1.125,1.2000000000000002,0.8178994813826442
-1.125,1.4000000000000001,0.8862374875129502
-1.125,1.6,0.8746730224622679
-1.125,1.8,0.7973390176439585
-1.125,2.0,0.6867307748870042
