c_pse,c_amp,performance
0.0,-0.5,0.037966056215402805
0.0,-0.45,0.03340686599757765
0.0,-0.4,0.02887997298010675
0.0,-0.35,0.024403357457650866
0.0,-0.3,0.020010790674100686
0.0,-0.25,0.015772650504023333
0.0,-0.19999999999999996,0.011855721688875066
0.0,-0.14999999999999997,0.008704977997023322
0.0,-0.09999999999999998,0.0073778058673198916
0.0,-0.04999999999999999,0.008747815111538527
0.0,0.0,0.011918615328890603
0.0,0.050000000000000044,0.015843591316777664
0.0,0.10000000000000009,0.020085374096358813
0.0,0.15000000000000002,0.02447982826105798
0.0,0.20000000000000007,0.02895753102586107
0.0,0.25,0.03348510246152939
0.0,0.30000000000000004,0.038044742645037564
0.0,0.3500000000000001,0.042626161817805756
0.0,0.4,0.04722302163173152
0.0,0.45000000000000007,0.0518312140034054
0.0,0.5,0.05644796356313693
0.1,-0.5,0.03319212996703064
0.1,-0.45,0.02871258733164834
0.1,-0.4,0.0242364451879229
0.1,-0.35,0.019766013861100766
0.1,-0.3,0.015306297955666539
0.1,-0.25,0.010870493769761985
0.1,-0.19999999999999996,0.006507682923253437
0.1,-0.14999999999999997,0.00261336254682598
0.1,-0.09999999999999998,0.003406877619328172
0.1,-0.04999999999999999,0.0075287044679269765
0.1,0.0,0.011918615328890603
0.1,0.050000000000000044,0.016362237508700535
0.1,0.10000000000000009,0.02082521706404438
0.1,0.15000000000000002,0.02529731091990573
0.1,0.20000000000000007,0.02977441247669845
0.1,0.25,0.034254558257656
0.1,0.30000000000000004,0.03873669202528915
0.1,0.3500000000000001,0.04322019529383722
0.1,0.4,0.04770468192906368
0.1,0.45000000000000007,0.05218989844030376
0.1,0.5,0.056675671544373286
0.2,-0.5,0.033741853733931536
0.2,-0.45,0.029491792891087675
0.2,-0.4,0.0252704765216249
0.2,-0.35,0.021095167704941
0.2,-0.3,0.016999799955869522
0.2,-0.25,0.013059796236924309
0.2,-0.19999999999999996,0.009471079037300266
0.2,-0.14999999999999997,0.006813397073560302
0.2,-0.09999999999999998,0.006381332337656209
0.2,-0.04999999999999999,0.008520469840075658
