nozc,nozw,fitness,is_mean
-0.6655233502388,1.6761436462402344,2.6315557956695557,False
-0.6656205654144287,1.6759283542633057,2.6315560340881348,False
-0.6656385064125061,1.675970196723938,2.6315560340881348,False
-0.6656429171562195,1.6763063669204712,2.6315557956695557,False
-0.6656880378723145,1.6759721040725708,2.6315560340881348,False
-0.665581226348877,1.6760629415512085,2.6315560340881348,False
-0.6656943559646606,1.6760615110397339,2.6315560340881348,False
-0.6653867959976196,1.676072597503662,2.6315550804138184,False
-0.6655661463737488,1.6760672330856323,2.6315560340881348,False
-0.6656232476234436,1.675825595855713,2.6315557956695557,False
-0.665822446346283,1.6761770248413086,2.6315557956695557,False
-0.6656155586242676,1.676121711730957,2.6315560340881348,False
-0.6656801700592041,1.676000714302063,2.6315560340881348,False
-0.6657231450080872,1.6761915683746338,2.6315560340881348,False
-0.6656373739242554,1.6761711835861206,2.6315560340881348,False
-0.6655877232551575,1.6761059761047363,2.6315560340881348,False
-0.6656428575515747,1.6760578155517578,2.6315560340881348,False
-0.6659050583839417,1.6761386394500732,2.6315555572509766,False
-0.6655828952789307,1.6760624647140503,2.6315560340881348,False
-0.6656410694122314,1.6761211156845093,2.6315560340881348,False
-0.6657559871673584,1.6760890483856201,2.6315560340881348,False
-0.6655309200286865,1.6759936809539795,2.6315557956695557,False
-0.6656414866447449,1.6763678789138794,2.6315557956695557,False
-0.66562819480896,1.6761469841003418,2.6315560340881348,False
-0.665553092956543,1.6762076616287231,2.6315557956695557,False
-0.6656832098960876,1.6759320497512817,2.6315560340881348,False
-0.6656190752983093,1.676230788230896,2.6315560340881348,False
-0.6658443808555603,1.6760379076004028,2.6315557956695557,False
-0.665551483631134,1.675956130027771,2.6315557956695557,False
-0.6656526327133179,1.6759352684020996,2.6315560340881348,False
-0.6655558347702026,1.6760482788085938,2.6315560340881348,False
-0.6658053994178772,1.6761754751205444,2.6315560340881348,False
-0.6656900644302368,1.6761929988861084,2.6315560340881348,False
-0.6655359864234924,1.6762125492095947,2.6315557956695557,False
-0.6653969287872314,1.6760882139205933,2.6315553188323975,False
-0.6656109690666199,1.6763026714324951,2.6315557956695557,False
-0.6656060814857483,1.6762806177139282,2.6315557956695557,False
-0.6658167839050293,1.676055908203125,2.6315560340881348,False
-0.6658145189285278,1.6759076118469238,2.6315557956695557,False
-0.6655508279800415,1.6760098934173584,2.6315557956695557,False
-0.6658155918121338,1.6759780645370483,2.6315560340881348,False
-0.6656480431556702,1.6759870052337646,2.6315560340881348,False
-0.6656659841537476,1.6760878562927246,2.6315560340881348,False
-0.6657087206840515,1.6761109828948975,2.6315560340881348,False
-0.6656988263130188,1.6762460470199585,2.6315560340881348,False
-0.6656946539878845,1.676016926765442,2.6315560340881348,False
-0.6656549572944641,1.6761330366134644,2.6315560340881348,False
-0.6657174825668335,1.6761956214904785,2.6315560340881348,False
-0.6655714511871338,1.6761902570724487,2.6315560340881348,False
-0.665743887424469,1.676240086555481,2.6315560340881348,False
-0.66567904,1.6761073,2.631556137783955,True
